Focal species,Food item,Category,Additional food item information,Method,Sample size,% frequency of occurrence,% of total volume,Estimated mean % prey composition,Mean % relative density,% total volume for season,% frequency of occurrence within samples containing bird remains,% of dry fecal weight,% of all fish identified,% contribution to fatty acid signatures,% of total stems utilized,% time spent on each food type,% of browse pile,Average fragments of chewed vegetation per colony,Location,Additional location information,Sampling period,Month,Season,Reference,
American beaver,Abies balsamea,Balsam fir,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.2,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Abies balsamea,Balsam fir,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.1,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Acer rubrum,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,4,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus rugosa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,6,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyrifera,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Myrica gale,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,3,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,0,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Rhododendron canadense,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,3,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Vaccinum angustifolium,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,6,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Viburnum cassinoides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Acer rubrum,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,5,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus rugosa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,5,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyrifera,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Myrica gale,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Rhododendron canadense,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Vaccinum angustifolium,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Viburnum cassinoides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Acer rubrum,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,0,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,7,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus rugosa,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,5,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyrifera,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,0,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Myrica gale,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,5,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,0,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,0,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Rhododendron canadense,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,3,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Vaccinum angustifolium,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,4,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Viburnum cassinoides,deciduous shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Acer rubrum,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.9,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa + Alnus rugosa,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,82.8,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyri,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,5.7,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,6.9,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.6,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Salix spp.,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.7,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Viburnum trilobum,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,1.5,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa + Alnus rugosa,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,83.9,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyri,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,4.6,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,1.5,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.1,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Pyrus americana,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,4.4,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Salix spp.,deciduous shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,4,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Acer rubrum,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa + Alnus rugosa,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,60,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyri,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,20,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Myrica gale,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,4,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Prunus pennsylvanica,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Rhododendron canadense,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Salix spp.,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,6,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Vaccinum angustifolium,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,2,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Viburnum cassinoides,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,3,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Alnus crispa + Alnus rugosa,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,70,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Betula papyri,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,20,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Populus tremuloides,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,0.5,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Pyrus americana,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,3,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Rhododendron canadense,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Salix spp.,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,4,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Vaccinum angustifolium,deciduous shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea glauca,evergreen shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea glauca,evergreen shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea glauca,evergreen shrubs/trees,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea mariana,evergreen shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,0.7,,,,"Grand Falls, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea mariana,evergreen shrubs/trees,,Recorded plant utilization in area by transect,5, ,,,,,,,,,1.4,,,,"New World Island, Newfoundland",,1961-1963,,fall + summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea glauca,evergreen shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,1,,"Grand Falls, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Picea glauca,evergreen shrubs/trees,,Recorded proportion of browse pile,15, ,,,,,,,,,,,0.5,,"New World Island, Newfoundland",,1961-1963,,winter,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Carex rostrata,grasses,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,12,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Carex rostrata,grasses,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,6,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Carex rostrata,grasses,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,12,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Juncus spp.,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Nuphar microphylla,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,4,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Nuphar variegatum,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,10,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Sarracenia purpurea,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,5,"Avalon Peninsula, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Juncus spp.,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Nuphar microphylla,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Nuphar variegatum,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,4,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Sarracenia purpurea,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,4,"Grand Falls, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Juncus spp.,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,1,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Nuphar microphylla,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,8,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Nuphar variegatum,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,10,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American beaver,Sarracenia purpurea,herbaceous plants,,Recorded fragments of chewed vegetation on colony water,6, ,,,,,,,,,,,,2,"New World Island, Newfoundland",,1961-1963,,summer,"Northcott, T. H. 1971. Feeding habits of beaver in Newfoundland. Oikos 22: 407-410",
American black bear,Amelanchier spp. ,deciduous shrubs/trees,,Scat + stomach content analysis,29+3,6.3,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American beaver,American beaver,,Scat + stomach content analysis,29+3,6.3,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American beaver,American beaver,,Scat analysis,47,2.1,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat + stomach content analysis,20+6,19.2,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat + stomach content analysis,21+1,13.6,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat + stomach content analysis,29+3,28.1,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat + stomach content analysis,23,26.1,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat analysis,47,14.9,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat analysis,8,12.5,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,American moose,American moose,,Scat analysis,5,20,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1993,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Caribou,Caribou,,Scat + stomach content analysis,8,25,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Caribou,Caribou,,Scat + stomach content analysis,20+6,3.8,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Caribou,Caribou,,Scat + stomach content analysis,21+1,18.2,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Caribou,Caribou,,Scat + stomach content analysis,29+3,3.1,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Caribou,Caribou,,Scat + stomach content analysis,23,17.4,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Cervidae young,Caribou,,Scat + stomach content analysis,21+1,4.5,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
American black bear,Cervidae young,Caribou,,Scat analysis,47,12.8,,,,,,,,,,,,,"Gros Morne National Park, Newfoundland",,1994,May-August,spring-summer,"Day, S. M. 1997. Aspects of Newfoundland black bear (Ursus americanus hamiltoni) food habits and habitat use in human-influenced environments. M. Sc. Thesis, Acadia University",
