id,S,L,P,H
4253,3,2,0,0
4254,6,5,0,0
4255,3,2,0,0
4256,4,3,0,0
4257,3,2,0,0
4258,7,6,0,0
4259,19,25,0,0
4260,6,5,0,0
4261,7,7,0,0
4262,5,4,0,0
4263,9,7,0,0
4264,5,4,0,0
4265,33,54,0,0
4266,15,20,0,0
4267,14,13,0,0
4268,52,68,0,0
4269,4,3,0,0
4270,24,31,0,0
4271,4,3,0,0
4272,22,28,0,0
4273,8,7,0,0
4274,45,50,0,0
4275,16,19,0,0
4276,10,5,0,0
4277,5,0,0,0
4278,15,18,0,0
4279,18,20,0,0
3258,61,203,111,86
4280,6,5,0,0
4281,7,6,0,0
4282,10,9,0,0
4283,6,5,0,0
4284,10,12,0,0
4285,10,9,0,0
4452,13,12,0,0
4286,19,17,0,0
4287,10,8,0,0
4288,24,31,0,0
4289,2,1,0,0
4290,5,4,0,0
4291,5,4,0,0
4292,4,2,0,0
4293,4,3,0,0
4294,11,10,0,0
4295,7,7,0,0
4296,5,4,0,0
4297,9,10,0,0
4298,7,6,0,0
4299,11,9,0,0
4300,5,4,0,0
4301,14,12,0,0
4302,10,9,0,0
4303,22,29,0,0
4304,13,12,0,0
4305,3,2,0,0
4306,3,2,0,0
4307,4,3,0,0
4308,24,24,0,0
4309,10,10,0,0
4310,16,22,0,0
4311,16,19,0,0
4312,6,4,0,0
4313,3,2,0,0
4314,5,4,0,0
4315,14,15,0,0
4316,10,10,0,0
4317,5,4,0,0
4318,3,2,0,0
4319,8,1,0,0
4320,11,10,0,0
4321,3,2,0,0
4322,6,4,0,0
2473,78,1328,1262,36
2471,78,1302,1236,36
4323,6,5,0,0
4324,4,3,0,0
4325,3,2,0,0
4326,2,1,0,0
4327,13,7,0,0
4328,3,2,0,0
4329,3,2,0,0
4330,21,34,0,0
4331,28,46,0,0
4332,7,6,0,0
4333,20,23,0,0
4334,10,9,0,0
4335,22,41,0,0
4336,20,30,0,0
4337,15,14,0,0
4338,13,16,0,0
4339,3,2,0,0
4340,4,3,0,0
4341,4,3,0,0
4342,3,2,0,0
4343,5,4,0,0
4344,4,3,0,0
4345,9,8,0,0
4346,4,3,0,0
4347,6,4,0,0
4348,5,4,0,0
4349,8,7,0,0
4350,6,4,0,0
4351,5,3,0,0
4352,2,1,0,0
4353,9,6,0,0
4354,4,3,0,0
4355,9,9,0,0
4356,2,1,0,0
4357,11,11,0,0
4358,4,3,0,0
4359,16,20,0,0
4360,19,19,0,0
4361,4,3,0,0
4362,4,3,0,0
4363,12,13,0,0
4364,16,15,0,0
4365,11,8,0,0
4366,5,4,0,0
4367,10,8,0,0
4368,11,11,0,0
4369,8,7,0,0
4370,4,3,0,0
4371,9,7,0,0
4372,11,9,0,0
4373,5,4,0,0
4374,5,4,0,0
4375,4,3,0,0
4376,7,6,0,0
4377,4,3,0,0
4378,6,5,0,0
4379,19,16,0,0
4380,4,3,0,0
4381,11,11,0,0
4382,4,3,0,0
4383,3,2,0,0
4384,12,10,0,0
4385,9,6,0,0
4386,7,7,0,0
4387,4,3,0,0
4388,4,3,0,0
4389,12,19,0,0
4390,7,6,0,0
4391,6,4,0,0
4392,13,8,0,0
4393,14,15,0,0
4394,17,19,0,0
4395,10,7,0,0
4396,23,22,0,0
4397,13,16,0,0
4398,4,3,0,0
4399,18,27,0,0
4400,17,19,0,0
4401,21,26,0,0
4402,3,2,0,0
4403,11,13,0,0
4404,16,19,0,0
4405,6,5,0,0
4406,4,3,0,0
4407,12,7,0,0
4408,6,4,0,0
4409,3,2,0,0
4410,5,4,0,0
4411,9,6,0,0
4412,8,6,0,0
4413,6,4,0,0
4414,3,2,0,0
4415,5,4,0,0
4416,6,5,0,0
4417,4,3,0,0
4418,13,10,0,0
4419,6,5,0,0
4420,15,19,0,0
4421,25,32,0,0
4422,13,13,0,0
4423,34,42,0,0
4424,12,12,0,0
4425,22,30,0,0
4426,17,16,0,0
4427,22,22,0,0
4428,20,18,0,0
4429,5,4,0,0
4430,19,19,0,0
4431,9,8,0,0
4432,12,9,0,0
4433,13,14,0,0
4434,8,7,0,0
4435,8,8,0,0
4436,5,4,0,0
4437,17,25,0,0
4438,3,2,0,0
4439,10,7,0,0
4440,3,2,0,0
4441,2,1,0,0
4442,2,1,0,0
4443,2,1,0,0
4444,2,1,0,0
4445,8,6,0,0
4446,5,4,0,0
4447,12,11,0,0
4448,8,7,0,0
4449,6,5,0,0
4450,10,9,0,0
4451,19,32,0,0
922,35,96,66,8
4453,9,8,0,0
4454,22,21,0,0
4455,3,2,0,0
4456,13,12,0,0
4457,14,17,0,0
4458,5,4,0,0
4459,17,29,0,0
4460,4,3,0,0
4461,9,6,0,0
4462,10,9,0,0
4463,13,16,0,0
4464,13,10,0,0
4465,3,2,0,0
4466,5,3,0,0
4467,2,1,0,0
4468,3,2,0,0
4469,2,1,0,0
4470,7,5,0,0
4471,7,6,0,0
4472,6,5,0,0
4473,7,6,0,0
4474,9,7,0,0
4475,10,9,0,0
4476,8,6,0,0
4477,7,6,0,0
4478,3,2,0,0
4479,3,2,0,0
4480,13,9,0,0
4481,7,5,0,0
4482,6,5,0,0
4483,4,3,0,0
4484,3,2,0,0
4485,6,5,0,0
4486,8,7,0,0
4487,5,4,0,0
4488,4,3,0,0
4489,2,1,0,0
4490,7,4,0,0
4491,4,4,0,0
4492,7,6,0,0
4493,5,4,0,0
4494,8,8,0,0
4495,6,5,0,0
4496,13,13,0,0
4497,3,2,0,0
4498,13,15,0,0
4499,6,5,0,0
4500,5,6,0,0
4501,4,3,0,0
4502,5,4,0,0
4503,5,4,0,0
4504,10,8,0,0
4505,10,5,0,0
4506,7,6,0,0
4507,51,62,0,0
4508,19,22,0,0
4509,2,1,0,0
4510,6,5,0,0
4511,10,9,0,0
4512,10,10,0,0
4513,5,4,0,0
4514,3,2,0,0
4515,8,7,0,0
4516,6,0,0,0
4517,3,2,0,0
4518,5,3,0,0
4519,7,6,0,0
4520,7,7,0,0
4521,8,8,0,0
4522,6,8,0,0
4523,4,3,0,0
4524,4,3,0,0
4525,4,3,0,0
4526,4,3,0,0
4527,4,3,0,0
4528,2,1,0,0
4529,2,1,0,0
4530,3,2,0,0
4531,3,2,0,0
4532,9,8,0,0
4533,4,3,0,0
4534,7,6,0,0
4535,4,3,0,0
4536,2,1,0,0
4537,3,2,0,0
4538,4,3,0,0
4539,5,4,0,0
4540,13,16,0,0
4541,3,2,0,0
4542,15,10,0,0
4543,25,18,0,0
4544,3,2,0,0
4545,22,19,0,0
4546,2,1,0,0
4547,17,21,0,0
4548,12,11,0,0
4549,6,3,0,0
4550,15,12,0,0
4551,5,4,0,0
4552,3,2,0,0
4553,3,2,0,0
4554,9,7,0,0
4555,10,13,0,0
4556,6,5,0,0
4557,6,5,0,0
4558,8,6,0,0
4559,5,4,0,0
4560,10,9,0,0
4561,4,0,0,0
4562,20,31,0,0
4563,8,7,0,0
4564,14,21,0,0
4565,16,20,0,0
4566,6,5,0,0
4567,14,14,0,0
4568,6,5,0,0
4569,8,7,0,0
4570,13,18,0,0
4571,4,3,0,0
4572,3,2,0,0
4573,9,10,0,0
4574,5,4,0,0
4575,3,2,0,0
4576,5,3,0,0
4577,10,7,0,0
4578,7,5,0,0
4579,7,6,0,0
4580,7,6,0,0
4581,5,4,0,0
4582,9,11,0,0
4583,6,4,0,0
4584,5,4,0,0
4585,5,4,0,0
4586,14,19,0,0
4587,6,5,0,0
4588,3,2,0,0
4589,6,5,0,0
4590,12,13,0,0
4591,14,14,0,0
4592,4,3,0,0
4593,3,2,0,0
4594,4,3,0,0
4595,11,12,0,0
4596,4,3,0,0
4597,12,13,0,0
4598,6,6,0,0
4599,9,10,0,0
4600,5,4,0,0
4601,4,3,0,0
4602,2,1,0,0
4603,6,4,0,0
4604,11,8,0,0
4605,5,4,0,0
4606,5,3,0,0
4607,2,0,0,0
4608,2,1,0,0
4609,12,18,0,0
4610,7,8,0,0
4611,6,5,0,0
4612,4,3,0,0
4613,7,5,0,0
4614,8,6,0,0
4615,8,6,0,0
4616,2,1,0,0
4617,2,1,0,0
4618,2,1,0,0
4619,6,5,0,0
1021,22,35,31,2
4620,4,3,0,0
4621,3,2,0,0
4622,4,3,0,0
4623,5,4,0,0
4624,7,6,0,0
4625,8,7,0,0
4626,11,15,0,0
4627,11,10,0,0
4628,5,4,0,0
4629,5,4,0,0
4630,5,4,0,0
4631,8,7,0,0
4632,5,4,0,0
4633,3,2,0,0
4634,7,6,0,0
4635,5,4,0,0
4636,7,6,0,0
4637,6,6,0,0
4638,6,5,0,0
4639,4,3,0,0
4640,4,3,0,0
4641,3,2,0,0
4642,12,14,0,0
4643,8,10,0,0
4644,6,5,0,0
4645,4,3,0,0
4646,7,7,0,0
4647,5,4,0,0
4648,8,7,0,0
4649,8,7,0,0
4650,12,11,0,0
4651,2,1,0,0
4652,2,1,0,0
4653,3,2,0,0
924,15,26,22,4
4654,3,2,0,0
4655,8,6,0,0
4656,14,15,0,0
4657,11,10,0,0
4658,7,6,0,0
4659,6,5,0,0
4660,7,6,0,0
4661,3,2,0,0
4662,4,3,0,0
4663,4,3,0,0
4664,7,4,0,0
4665,5,3,0,0
4666,6,4,0,0
4667,4,3,0,0
4668,13,13,0,0
4669,3,2,0,0
4670,12,11,0,0
4671,5,4,0,0
4672,9,9,0,0
4673,11,15,0,0
4674,4,3,0,0
4675,5,3,0,0
4676,6,5,0,0
4677,4,3,0,0
4678,12,11,0,0
4679,6,4,0,0
4680,2,1,0,0
4681,5,4,0,0
4682,14,19,0,0
4683,3,2,0,0
4684,11,12,0,0
4685,7,6,0,0
4686,10,9,0,0
4687,5,4,0,0
4688,15,12,0,0
4689,2,1,0,0
4690,12,10,0,0
4691,14,16,0,0
4692,21,15,0,0
4693,15,8,0,0
4694,15,21,0,0
4695,3,2,0,0
4696,5,4,0,0
4697,3,2,0,0
4698,9,9,0,0
4699,8,7,0,0
4700,3,0,0,0
4701,4,3,0,0
4702,7,6,0,0
4703,6,0,0,0
4704,9,8,0,0
4705,13,14,0,0
4706,7,6,0,0
4707,8,7,0,0
4708,4,3,0,0
4709,7,7,0,0
4710,7,6,0,0
4711,2,1,0,0
4712,4,3,0,0
4713,2,1,0,0
4714,3,2,0,0
4715,5,4,0,0
4716,4,3,0,0
4717,6,5,0,0
4718,7,6,0,0
4719,7,6,0,0
4720,7,6,0,0
1102,23,141,135,6
4721,2,1,0,0
4722,8,6,0,0
4723,5,4,0,0
4724,3,2,0,0
4725,6,8,0,0
4726,5,3,0,0
4727,5,4,0,0
4728,2,1,0,0
4729,5,5,0,0
4730,10,12,0,0
4731,10,9,0,0
889,20,60,53,4
890,14,25,25,0
1268,34,156,111,19
893,78,607,510,62
1089,21,50,13,13
1090,21,50,12,14
1091,23,46,14,10
1092,27,56,18,8
1093,25,52,15,9
1094,28,61,19,10
1095,32,73,29,6
1096,31,71,23,8
1097,27,62,16,8
1098,49,139,55,24
1099,52,149,60,27
1100,51,143,56,27
907,14,52,30,12
906,14,51,29,12
943,12,16,0,0
942,19,45,0,0
1281,15,26,17,6
1282,14,28,19,6
927,11,27,0,0
926,13,34,0,0
1104,35,107,0,0
1108,19,44,0,0
1105,29,124,0,0
1107,25,60,0,0
1106,37,175,0,0
918,29,97,0,0
920,28,100,0,0
921,26,88,0,0
919,28,98,0,0
928,45,96,0,0
929,26,71,0,0
931,26,110,0,0
935,22,30,0,0
934,27,52,0,0
938,97,178,0,0
939,36,80,0,0
940,156,200,0,0
948,456,871,0,0
944,209,666,0,0
945,57,143,0,0
949,185,372,0,0
950,105,199,0,0
951,68,91,0,0
954,11,15,0,0
953,14,16,0,0
952,24,29,0,0
955,84,145,0,0
1007,28,61,0,0
1016,49,88,0,0
1031,27,39,0,0
1026,27,36,0,0
1027,33,105,0,0
1029,34,68,0,0
1032,58,107,0,0
1033,33,142,0,0
1035,19,19,0,0
1037,29,51,0,0
1047,13,15,0,0
1048,21,30,0,0
1049,38,90,0,0
1050,30,52,0,0
1052,26,28,0,0
1053,21,50,0,0
1054,53,84,0,0
1057,23,57,0,0
1068,21,67,43,9
1060,26,71,0,0
1061,24,39,0,0
1063,39,107,0,0
1022,10,12,0,0
1028,24,57,0,0
1030,17,41,0,0
1008,42,96,0,0
1034,47,108,0,0
1009,32,108,0,0
1010,27,52,0,0
1011,20,51,0,0
1012,53,123,0,0
1013,25,43,0,0
1014,32,37,0,0
1015,36,97,0,0
1017,23,43,0,0
1018,30,63,0,0
1059,37,100,0,0
1062,62,226,0,0
1044,27,32,0,0
1025,36,127,0,0
1036,49,79,0,0
1038,56,174,0,0
1055,38,73,0,0
1045,47,198,0,0
1046,17,35,0,0
1051,17,29,0,0
1024,14,19,0,0
1056,53,197,0,0
1058,56,202,0,0
1023,27,52,0,0
1019,33,103,0,0
1020,30,68,0,0
1115,26,70,41,29
1065,33,182,145,12
1066,26,103,74,11
1064,38,242,197,15
1069,22,83,60,8
1067,27,132,99,13
1071,6,4,0,0
1070,11,10,0,0
1072,5,4,0,0
1074,7,6,0,0
1079,6,4,0,0
1080,8,4,0,0
1073,9,8,0,0
1078,8,7,0,0
1083,10,8,0,0
1084,9,7,0,0
1081,8,7,0,0
1082,8,6,0,0
1077,8,7,0,0
1085,7,4,0,0
1075,8,7,0,0
1076,5,3,0,0
1364,29,34,0,0
1333,52,70,0,0
1316,16,14,0,0
1384,16,15,0,0
1374,37,51,0,0
1388,17,19,0,0
1379,44,65,0,0
1351,38,42,0,0
1390,22,19,0,0
1395,31,45,0,0
1387,18,18,0,0
1361,14,15,0,0
1389,30,38,0,0
1298,29,32,0,0
1407,10,8,0,0
1321,25,30,0,0
1393,23,27,0,0
1355,16,19,0,0
1345,13,12,0,0
1368,11,9,0,0
1373,43,59,0,0
1370,13,12,0,0
1424,27,35,0,0
1363,14,14,0,0
1381,25,26,0,0
1396,29,30,0,0
1402,11,9,0,0
1346,16,17,0,0
1359,35,48,0,0
1362,19,26,0,0
1365,9,7,0,0
1366,21,20,0,0
1382,47,55,0,0
1404,22,22,0,0
1386,32,43,0,0
1323,11,13,0,0
1347,26,40,0,0
1360,22,22,0,0
1394,21,22,0,0
1356,22,31,0,0
1350,17,18,0,0
1372,12,11,0,0
1357,24,23,0,0
1352,31,44,0,0
1403,21,23,0,0
1392,21,23,0,0
1369,13,10,0,0
1349,21,21,0,0
1290,32,36,0,0
1391,19,22,0,0
1410,16,17,0,0
1371,8,6,0,0
1329,20,23,0,0
1380,33,34,0,0
1411,17,15,0,0
1422,18,23,0,0
1423,29,31,0,0
1340,42,48,0,0
1417,24,25,0,0
1343,14,17,0,0
1317,22,30,0,0
1412,32,35,0,0
1413,25,26,0,0
1342,18,19,0,0
1406,25,28,0,0
1291,55,76,0,0
1309,29,34,0,0
1430,12,11,0,0
1426,20,20,0,0
1425,25,30,0,0
1331,24,25,0,0
1419,21,26,0,0
1299,24,25,0,0
1375,27,33,0,0
1337,20,20,0,0
1427,24,28,0,0
1429,29,37,0,0
1428,17,17,0,0
1318,8,6,0,0
1305,12,11,0,0
1296,19,24,0,0
1405,14,14,0,0
1301,22,24,0,0
1322,20,22,0,0
1367,14,15,0,0
1313,13,14,0,0
1297,11,14,0,0
1308,25,25,0,0
1292,34,48,0,0
1328,15,14,0,0
1332,45,50,0,0
1418,20,26,0,0
1385,23,27,0,0
1287,31,40,0,0
1300,22,23,0,0
1383,39,49,0,0
1324,20,25,0,0
1288,23,25,0,0
1295,5,5,0,0
1335,40,45,0,0
1293,10,10,0,0
1327,20,22,0,0
1376,49,67,0,0
1344,18,19,0,0
1325,18,19,0,0
1319,6,4,0,0
1326,22,26,0,0
1420,27,32,0,0
1311,32,43,0,0
1286,30,38,0,0
1307,22,23,0,0
1341,18,21,0,0
1312,26,31,0,0
1310,25,30,0,0
1416,23,26,0,0
1338,19,21,0,0
1378,58,113,0,0
1303,32,48,0,0
1409,14,13,0,0
1336,22,24,0,0
1289,16,14,0,0
1294,21,25,0,0
1484,29,49,18,27
1302,22,29,0,0
1314,14,15,0,0
1339,22,24,0,0
1408,16,15,0,0
1320,23,32,0,0
1330,31,39,0,0
1285,21,32,0,0
1306,23,28,0,0
1415,30,37,0,0
1348,19,20,0,0
1334,26,30,0,0
1414,18,16,0,0
1421,32,53,0,0
1358,37,44,0,0
1353,22,25,0,0
1315,10,9,0,0
1377,33,40,0,0
1354,16,20,0,0
1304,16,18,0,0
1101,28,127,110,8
1103,28,218,208,8
1113,22,34,6,9
1114,26,41,20,6
1112,25,45,12,15
4732,4,3,0,0
4733,6,5,0,0
4734,6,5,0,0
4735,8,7,0,0
4736,11,15,0,0
1284,21,89,74,12
1440,15,38,22,7
1441,7,12,6,3
1439,13,26,10,7
1442,8,14,7,3
1443,19,22,22,0
1444,40,185,118,31
1447,32,139,86,21
1446,33,141,88,21
1448,13,34,14,10
1449,20,44,31,0
1451,9,15,7,0
1452,12,26,16,0
1453,6,10,4,0
1450,19,55,42,0
1454,31,131,95,36
1456,47,157,69,88
1457,57,178,93,85
1455,17,33,24,9
1458,21,62,49,7
1459,15,43,33,9
4737,7,5,0,0
1460,20,19,0,0
1461,46,127,93,0
1462,30,229,183,34
1463,13,34,30,2
1464,15,42,25,9
1467,42,103,52,34
1466,39,106,75,26
1465,37,77,36,22
1468,8,25,20,5
1469,6,7,7,0
1470,24,91,69,0
1471,27,47,30,0
1473,16,50,33,9
1474,56,178,136,38
1475,16,42,16,26
1476,28,69,47,8
1478,8,11,6,2
1480,14,30,23,4
1479,13,27,19,4
1477,5,7,4,0
1481,24,94,69,11
1482,16,31,21,0
1483,27,42,21,17
1485,14,23,13,0
1486,26,45,27,6
1487,27,41,22,7
1488,66,234,188,27
1492,13,33,0,0
1489,13,42,0,0
1491,12,32,0,0
1490,25,140,0,0
1493,9,13,9,4
1494,47,61,27,26
1495,89,114,33,75
1496,90,149,80,60
1497,36,47,11,34
1498,79,1010,967,0
1499,28,37,15,0
1501,7,8,0,6
1500,9,8,0,6
1502,7,11,0,5
1504,12,25,12,12
1505,11,20,13,0
1506,34,79,53,25
1507,26,61,36,0
1508,33,121,88,0
1510,23,26,11,12
1511,17,32,30,2
1512,14,49,26,14
1513,20,41,35,0
1514,43,114,68,36
1515,11,30,16,5
1516,22,48,32,6
1517,32,140,20,105
1518,20,80,46,34
1519,10,29,19,5
1520,22,48,23,25
1521,23,40,21,0
1522,31,80,52,18
1523,24,113,85,7
1524,25,131,53,66
1525,26,67,45,11
1526,45,193,33,146
1527,38,157,17,126
1528,42,183,38,134
1529,37,150,19,119
1530,106,310,167,75
1531,16,57,25,26
1532,35,53,24,21
1533,24,104,62,28
4738,3,2,0,0
4739,10,7,0,0
1536,16,48,0,3
1537,35,380,362,0
4740,4,3,0,0
4741,5,4,0,0
1472,29,105,41,50
1569,68,169,36,100
4742,8,7,0,0
1547,6,5,0,0
1548,21,40,22,0
1549,3,2,0,0
1550,36,77,12,7
1551,37,74,13,14
1552,13,22,7,4
1553,9,17,5,3
1554,12,19,4,4
1555,9,21,7,2
1556,12,19,5,3
1557,12,29,10,3
1558,19,32,8,7
1559,24,42,10,7
1560,9,11,1,1
1561,25,64,45,0
1562,14,30,18,0
1563,39,248,174,23
1564,39,229,156,23
1565,40,241,170,11
1566,23,48,39,5
1567,26,70,27,33
4743,8,7,0,0
1544,18,23,8,0
1570,57,142,25,90
4744,9,10,0,0
1572,69,188,9,149
1573,67,158,33,97
4745,6,5,0,0
1576,39,103,21,65
1545,8,9,4,0
1546,27,72,52,0
1578,55,129,10,100
1579,59,151,27,100
4746,14,7,0,0
1581,45,192,16,92
1582,39,146,28,49
1583,35,110,1,51
1584,32,106,0,51
1585,31,102,0,49
1586,37,120,3,56
1587,31,100,0,50
1588,32,102,0,48
1589,20,54,0,30
1590,36,138,47,70
1591,7,8,4,4
1592,15,27,15,9
1593,26,30,13,12
1594,27,116,99,9
1595,27,114,97,9
1596,24,108,58,50
1597,28,50,0,0
1598,49,106,0,0
1599,50,95,0,0
1600,50,107,0,0
1601,58,130,0,0
1602,67,134,0,0
1603,87,144,0,0
1604,71,96,0,0
1605,68,108,0,0
1606,47,72,0,0
1607,58,78,0,0
1608,39,51,0,0
1609,34,43,0,0
1610,37,60,0,0
1611,38,48,0,0
1612,48,99,0,0
1613,51,131,0,0
1614,56,114,0,0
1615,52,100,0,0
1616,48,75,0,0
1617,31,41,0,0
1618,30,37,0,0
1619,28,32,0,0
1620,44,64,0,0
1621,39,57,0,0
1622,38,46,0,0
1623,17,17,0,0
1624,22,27,0,0
1625,20,24,0,0
1626,22,29,0,0
1627,34,51,0,0
1628,35,58,0,0
1629,32,62,0,0
1630,25,35,0,0
1631,16,15,0,0
1632,19,20,0,0
1633,18,17,0,0
1634,19,24,0,0
1635,26,39,0,0
1636,17,18,0,0
1637,24,33,0,0
1638,27,41,0,0
1639,22,19,0,0
1640,29,35,0,0
1641,32,44,0,0
1642,25,25,0,0
1643,29,43,0,0
1644,28,28,0,0
1645,36,45,0,0
1646,29,46,0,0
1647,16,21,0,0
1648,20,28,0,0
1649,19,21,0,0
1650,27,36,0,0
1651,26,39,0,0
1652,20,30,0,0
1653,24,35,0,0
1654,24,28,0,0
1655,8,6,0,0
1656,10,9,0,0
1657,22,19,0,0
1658,24,31,0,0
1659,30,43,0,0
1660,33,49,0,0
1661,30,46,0,0
1662,35,58,0,0
1663,13,11,0,0
1664,17,16,0,0
1665,25,26,0,0
1666,21,23,0,0
1667,34,50,0,0
1668,34,45,0,0
1669,35,57,0,0
1670,23,32,0,0
1671,32,86,0,0
1672,85,500,0,0
1673,61,66,0,0
1674,18,25,0,0
1675,78,120,0,0
1676,180,374,0,0
1677,167,346,0,0
1678,24,72,0,72
4747,12,4,0,0
4748,2,1,0,0
4749,12,16,0,0
4750,8,7,0,0
4784,3,2,0,0
4751,5,5,0,0
4752,6,5,0,0
4753,5,4,0,0
4754,3,2,0,0
4755,3,2,0,0
4756,6,4,0,0
4757,8,5,0,0
4758,7,7,0,0
4759,10,8,0,0
4760,5,5,0,0
4761,2,1,0,0
4762,6,5,0,0
4763,15,13,0,0
4764,3,2,0,0
4765,9,6,0,0
4766,2,1,0,0
4767,5,4,0,0
4768,2,1,0,0
4769,10,8,0,0
4770,8,6,0,0
4771,5,3,0,0
4772,9,8,0,0
4773,11,13,0,0
4774,3,2,0,0
4775,7,5,0,0
4776,8,4,0,0
4777,4,3,0,0
4778,5,4,0,0
4779,6,4,0,0
4780,2,1,0,0
4781,2,1,0,0
4782,4,3,0,0
4783,6,5,0,0
4785,9,8,0,0
4786,9,8,0,0
4787,4,3,0,0
4788,7,5,0,0
4789,10,9,0,0
4790,8,6,0,0
4791,5,4,0,0
4792,4,3,0,0
4793,5,4,0,0
4794,7,6,0,0
4795,6,5,0,0
4796,5,3,0,0
4797,4,3,0,0
4798,13,11,0,0
4799,8,8,0,0
4800,4,3,0,0
4801,2,1,0,0
4802,11,11,0,0
4803,5,3,0,0
4804,5,3,0,0
4805,8,7,0,0
4806,5,4,0,0
4807,7,7,0,0
4808,3,2,0,0
4809,3,2,0,0
4810,7,6,0,0
4811,5,4,0,0
4812,9,8,0,0
4813,16,15,0,0
4814,5,4,0,0
4815,13,15,0,0
4816,17,21,0,0
4817,4,2,0,0
4818,7,8,0,0
4819,2,1,0,0
4820,7,5,0,0
4821,19,23,0,0
4822,3,2,0,0
4823,7,4,0,0
4824,3,2,0,0
4825,7,4,0,0
4826,4,3,0,0
4827,15,18,0,0
4828,13,20,0,0
4829,4,3,0,0
4830,3,2,0,0
4831,5,3,0,0
4832,7,8,0,0
4833,8,8,0,0
4834,5,3,0,0
4835,8,7,0,0
4836,6,6,0,0
4837,2,1,0,0
4838,12,14,0,0
4839,3,2,0,0
4840,4,3,0,0
4841,5,4,0,0
4842,5,3,0,0
4843,10,11,0,0
4844,9,9,0,0
4845,9,11,0,0
4846,6,5,0,0
4847,6,5,0,0
4848,9,7,0,0
4849,4,3,0,0
4850,5,4,0,0
4851,17,24,0,0
4852,25,33,0,0
4853,20,23,0,0
4854,7,5,0,0
4855,2,1,0,0
4856,6,5,0,0
4857,7,7,0,0
4858,3,2,0,0
4859,23,34,0,0
4860,3,2,0,0
4861,3,2,0,0
4862,17,18,0,0
4863,2,1,0,0
4864,10,8,0,0
4865,3,2,0,0
4866,15,14,0,0
4867,5,4,0,0
4868,4,2,0,0
4869,11,11,0,0
4870,16,16,0,0
4871,5,4,0,0
4872,4,3,0,0
4873,10,9,0,0
4874,4,3,0,0
4875,6,6,0,0
4876,14,18,0,0
4877,4,3,0,0
4878,9,8,0,0
4879,7,4,0,0
4880,16,22,0,0
4881,4,3,0,0
4882,14,15,0,0
4883,8,7,0,0
4884,4,3,0,0
4885,2,1,0,0
4886,5,4,0,0
4887,10,11,0,0
4888,10,10,0,0
4889,14,11,0,0
4890,4,3,0,0
4891,2,1,0,0
4892,9,8,0,0
4893,13,13,0,0
4894,5,4,0,0
4895,22,34,0,0
4896,11,12,0,0
4897,20,33,0,0
4898,13,17,0,0
4899,14,19,0,0
4900,18,17,0,0
4901,2,1,0,0
4902,22,31,0,0
4903,15,20,0,0
4904,2,1,0,0
