taxonKey	scientificName	acceptedTaxonKey	acceptedScientificName	numberOfOccurrences	taxonRank	taxonomicStatus	kingdom	kingdomKey	phylum	phylumKey	class	classKey	order	orderKey	family	familyKey	genus	genusKey	species	speciesKey	iucnRedListCategory
4826561	Colpoclaenus Patterson & McGrew, 1962	4826561	Colpoclaenus Patterson & McGrew, 1962	2	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359			Arctocyonidae	3239418	Colpoclaenus	4826561			
6163538	Ondatra zibethicus zibethicus	5219858	Ondatra zibethicus (Linnaeus, 1766)	280	SUBSPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Cricetidae	3240723	Ondatra	5219857	Ondatra zibethicus	5219858	
6163838	Ursus americanus hamiltoni Cameron, 1957	6163838	Ursus americanus hamiltoni Cameron, 1957	15	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Ursidae	9681	Ursus	2433406	Ursus americanus	2433407	
9513157	Arctomys monax (Linnaeus, 1758)	2437368	Marmota monax (Linnaeus, 1758)	1	SPECIES	SYNONYM	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Sciuridae	9456	Marmota	2437364	Marmota monax	2437368	
9361	Phocoenidae	9361	Phocoenidae	1	FAMILY	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Cetacea	733	Phocoenidae	9361					
2434813	Mirounga angustirostris (Gill, 1866)	2434813	Mirounga angustirostris (Gill, 1866)	45	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Carnivora	732	Phocidae	5310	Mirounga	2434812	Mirounga angustirostris	2434813	LC
2439838	Castor canadensis Kuhl, 1820	2439838	Castor canadensis Kuhl, 1820	3951	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Rodentia	1459	Castoridae	5493	Castor	3240758	Castor canadensis	2439838	LC
2440958	Cervus elaphus Linnaeus, 1758	2440958	Cervus elaphus Linnaeus, 1758	291	SPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Cervidae	5298	Cervus	2440948	Cervus elaphus	2440958	LC
4262550	Ovis dalli stonei J.A.Allen, 1897	4262550	Ovis dalli stonei J.A.Allen, 1897	248	SUBSPECIES	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Bovidae	9614	Ovis	9531221	Ovis dalli	2441118	
4834683	Leptomeryx Leidy, 1853	4834683	Leptomeryx Leidy, 1853	18	GENUS	ACCEPTED	Animalia	1	Chordata	44	Mammalia	359	Artiodactyla	731	Leptomerycidae	4834682	Leptomeryx	4834683			
