code,gbifname,gbifid,equal
Rhizomys_sinensis,Rhizomys sinensis,2438057,true
Peropteryx_kappleri,Peropteryx kappleri,2433142,true
Neopteryx_frosti,Neopteryx frosti,2432935,true
Elephantulus_revoilii,Elephantulus revoili,2440845,false
Cuniculus_paca,Cuniculus paca,4263039,true
Lemniscomys_striatus,Lemniscomys striatus,2438204,true
Epomops_buettikoferi,Epomops buettikoferi,2432803,true
Peroryctes_raffrayana,Peroryctes raffrayana,2435329,true
Eulemur_rufus,Eulemur rufus,4266934,true
Miniopterus_gleni,Miniopterus gleni,4266199,true
Rhinolophus_mitratus,Rhinolophus mitratus,2432656,true
Lepus_mandshuricus,Lepus mandshuricus,2436720,true
Glis_glis,Glis glis,5706486,true
Mysateles_gundlachi,Mysateles prehensilis,2437664,false
Dendrolagus_notatus,Dendrolagus notatus,5787203,true
Chaerephon_jobensis,Chaerephon jobensis,5218719,true
Herpestes_javanicus,Herpestes javanicus,2434271,true
Cryptotis_montivaga,Cryptotis montivaga,5219515,true
Mesocricetus_newtoni,Mesocricetus newtoni,2438483,true
Pteromys_momonga,Pteromys momonga,2437259,true
Tamias_rufus,Tamias rufus,2437428,true
Anoura_cultrata,Anoura cultrata,5963042,true
Mirzamys_norahae,Mirzamys norahae,8073928,true
Nesophontes_paramicrus,Nesophontes paramicrus,2435486,true
Arctocebus_calabarensis,Arctocebus calabarensis,2436632,true
Sorex_cinereus,Sorex cinereus,2435964,true
Trachypithecus_phayrei,Trachypithecus phayrei,2436540,true
Tamias_dorsalis,Tamias dorsalis,2437431,true
Delomys_sublineatus,Delomys sublineatus,2438531,true
Chrotopterus_auritus,Chrotopterus auritus,5218753,true
Suncus_aequatorius,Suncus aequatorius,2435519,true
Crocidura_trichura,Crocidura trichura,2435570,true
Otomys_fortior,Otomys fortior,8369739,true
Oecomys_mamorae,Oecomys mamorae,2439317,true
Hipposideros_boeadii,Hipposideros boeadii,5787295,true
Pteropus_tokudae,Pteropus tokudae,5218650,true
Notocitellus_adocetus,Notocitellus adocetus,7478670,true
Crocidura_picea,Crocidura picea,2435641,true
Spermophilus_dauricus,Spermophilus dauricus,2437294,true
Phacochoerus_africanus,Phacochoerus africanus,2441212,true
Myodes_centralis,Myodes centralis,5706767,true
Procolobus_badius,Piliocolobus badius,7262000,false
Cercopithecus_lhoesti,Allochrocebus lhoesti,7416027,false
Mesocapromys_angelcabrerai,Mesocapromys angelcabrerai,2437643,true
Toromys_grandis,Makalata grandis,4262964,false
Marmosops_ocellatus,Marmosops ocellatus,5786552,true
Leptomys_elegans,Leptomys elegans,2437737,true
Alticola_macrotis,Alticola macrotis,2438717,true
Peromyscus_aztecus,Peromyscus aztecus,2438022,true
Brucepattersonius_iheringi,Brucepattersonius iheringi,4265067,true
Oryzomys_nelsoni,Oryzomys nelsoni,2438105,true
Propithecus_verreauxi,Propithecus verreauxi,5219530,true
Cercopithecus_mona,Cercopithecus mona,5219566,true
Rhagomys_rufescens,Rhagomys rufescens,2439151,true
Allactaga_firouzi,Allactaga hotsoni,2439488,false
Lagothrix_lugens,Lagothrix lagothricha,5786085,false
Pteropus_personatus,Pteropus personatus,5218674,true
Tadarida_teniotis,Tadarida teniotis,2433009,true
Abrocoma_cinerea,Abrocoma cinerea,2439415,true
Reithrodontomys_brevirostris,Reithrodontomys brevirostris,2437868,true
Marmosops_fuscatus,Marmosops fuscatus,2439949,true
Petrogale_mareeba,Petrogale mareeba,2440131,true
Chiropodomys_calamianensis,Chiropodomys calamianensis,2438396,true
Tonkinomys_daovantieni,Tonkinomys daovantieni,5786709,true
Proechimys_pattoni,Proechimys pattoni,4262967,true
Poelagus_marjorita,Poelagus marjorita,2436948,true
Phaner_parienti,Phaner parienti,4266966,true
Plerotes_anchietae,Plerotes anchietae,4265711,true
Hylaeamys_megacephalus,Hylaeamys megacephalus,5786888,true
Callicebus_caquetensis,Plecturocebus caquetensis,9438354,false
Chiromyscus_langbianis,Chiromyscus langbianis,10710625,true
Murina_harrisoni,Murina harrisoni,5787680,true
Crocidura_roosevelti,Crocidura roosevelti,2435674,true
Coelops_hirsutus,Coelops robinsoni,5218551,false
Peromyscus_carletoni,Peromyscus carletoni,7685264,true
Cerradomys_subflavus,Cerradomys subflavus,5786899,true
Herpestes_naso,Herpestes naso,2434299,true
Hipposideros_lylei,Hipposideros lylei,5218574,true
Mops_trevori,Mops trevori,2433069,true
Hylopetes_spadiceus,Hylopetes spadiceus,2437531,true
Chaetodipus_californicus,Chaetodipus californicus,2439594,true
Chaetodipus_goldmani,Chaetodipus goldmani,2439585,true
Pelomys_hopkinsi,Pelomys hopkinsi,2438686,true
Vampyressa_brocki,Vampyriscus brocki,8370064,false
Histiotus_magellanicus,Histiotus magellanicus,4265953,true
Macaca_fuscata,Macaca fuscata,2436608,true
Ctenomys_sylvanus,Ctenomys sylvanus,4263370,true
Apodemus_chevrieri,Apodemus chevrieri,5219743,true
Ichthyomys_tweedii,Ichthyomys tweedii,2437713,true
Saiga_tatarica,Saiga tatarica,2441067,true
Hadromys_humei,Hadromys humei,2438368,true
Tamiops_maritimus,Tamiops maritimus,2437264,true
Hydromys_neobritannicus,Hydromys neobritannicus,4264994,true
Peromyscus_maniculatus,Peromyscus maniculatus,2437967,true
Neonycteris_pusilla,Neonycteris pusilla,4265411,true
Tonatia_bidens,Tonatia bidens,2433203,true
Glaucomys_sabrinus,Glaucomys sabrinus,2437331,true
Prionailurus_rubiginosus,Prionailurus rubiginosus,2434895,true
Myodes_andersoni,Myodes andersoni,5706759,true
Sorex_vagrans,Sorex vagrans,2436042,true
Mico_leucippe,Mico leucippe,5786454,true
Rattus_xanthurus,Rattus xanthurus,2439248,true
