code,gbifname,gbifid,equal
Lemmus trimucronatus,Lemmus trimucronatus,5219836,true
Sorex preblei,Sorex preblei,2435996,true
Ursus arctos,Ursus arctos,2433433,true
Marmota caligata,Marmota caligata,2437378,true
Bison bison,Bison bison,2441176,true
Martes pennanti,Pekania pennanti,8631083,false
Cervus canadensis,Cervus elaphus,2440958,false
Mustela nivalis,Mustela nivalis,5218987,true
Canis latrans,Canis latrans,5219153,true
Canis lupus,Canis lupus,5219173,true
Myodes rutilus,Myodes rutilus,5706762,true
Vulpes vulpes,Vulpes vulpes,5219243,true
Sorex monticola,Sorex monticolus,2436019,false
Mus musculus,Mus musculus,7429082,true
