from,to,score_normal,score,pair,int
Canis lupus,Microtus richardsoni,0.945,1.0,false,false
Canis lupus,Microtus townsendii,0.9709,1.0,false,false
Canis lupus,Microtus xanthognathus,0.8193,1.0,false,false
Canis lupus,Mus musculus,0.8027,1.0,true,true
Canis lupus,Mustela erminea,0.7774,1.0,true,true
Canis lupus,Mustela frenata,0.9419,1.0,false,false
Canis lupus,Mustela nigripes,0.7411,1.0,false,false
Canis lupus,Mustela nivalis,0.88675,1.0,true,true
Canis lupus,Mustela subpalmata,0.8693,1.0,false,false
Canis lupus,Myodes gapperi,0.9211,1.0,false,false
Canis lupus,Myodes rutilus,0.8876,1.0,true,true
Canis lupus,Napaeozapus insignis,0.98135,1.0,false,false
Canis lupus,Neovison vison,0.9,1.0,false,false
Canis lupus,Ochotona collaris,0.8018,1.0,false,false
Canis lupus,Ochotona princeps,0.7871,1.0,false,false
Canis lupus,Ondatra zibethicus,0.951,1.0,false,false
Canis lupus,Phenacomys intermedius,0.93825,1.0,false,false
Canis lupus,Phenacomys ungava,0.9345,1.0,false,false
Canis lupus,Poliocitellus franklinii,0.9099,1.0,false,false
Canis lupus,Scalopus aquaticus,0.75895,1.0,false,false
Canis lupus,Sciurus niger,0.79115,1.0,false,false
Canis lupus,Sorex arcticus,0.85955,1.0,false,false
Canis lupus,Sorex haydeni,0.8063,1.0,false,false
Canis lupus,Sorex hoyi,0.8838,1.0,false,false
Canis lupus,Sorex maritimensis,0.87285,1.0,false,false
Canis lupus,Sorex merriami,0.90775,1.0,false,false
Canis lupus,Sorex trowbridgii,0.82845,1.0,false,false
Canis lupus,Sorex tundrensis,0.82275,1.0,true,true
Canis lupus,Synaptomys borealis,0.8702,1.0,false,false
Canis lupus,Synaptomys cooperi,0.81145,1.0,false,false
Canis lupus,Tamias amoenus,0.98805,1.0,false,false
Canis lupus,Tamias townsendii,0.9457,1.0,false,false
Canis lupus,Tamiasciurus douglasii,0.8091,1.0,false,false
Canis lupus,Taxidea taxus,0.7643,1.0,false,false
Canis lupus,Urocitellus columbianus,0.7615,1.0,false,false
Canis lupus,Urocitellus parryii,0.78935,1.0,false,false
Canis lupus,Urocitellus richardsonii,0.76,1.0,false,false
Canis lupus,Urocyon cinereoargenteus,0.9268,1.0,false,false
Canis lupus,Vulpes lagopus,0.9282,1.0,true,true
Canis lupus,Vulpes velox,0.84015,1.0,false,false
